window,train_start,train_end,test_end,train_bars,test_bars,diag_H,ic_bar,hit_bar,sharpe,real_pnl,n_trades,max_dd
17,2025-03-23 02:45:00,2025-05-04 02:40:00,2025-05-11 02:40:00,12096,2016,10,0.14027385016618635,0.5483055134041477,0.0,0.0,0,0.0
18,2025-03-30 02:45:00,2025-05-11 02:40:00,2025-05-18 02:40:00,12096,2016,10,0.1838410322373293,0.5078401618614061,0.0,0.0,0,0.0
19,2025-04-06 02:45:00,2025-05-18 02:40:00,2025-05-25 02:40:00,12096,2016,10,-0.051297192943132584,0.5210355987055016,-0.05692624131221106,-1189.1452762002336,20,12.49300702918239
20,2025-04-13 02:45:00,2025-05-25 02:40:00,2025-06-01 02:40:00,12096,2016,10,0.0649969911125455,0.5046070460704607,-0.05811855881510464,-305.3147877960093,5,3.1575541423589857
21,2025-04-20 02:45:00,2025-06-01 02:40:00,2025-06-08 02:40:00,12096,2016,10,-0.0016754332034112647,0.5172588832487309,0.020558063394673913,62.404368863248735,1,0.468226556990194
22,2025-04-27 02:45:00,2025-06-08 02:40:00,2025-06-15 02:40:00,12096,2016,10,0.12171973800190915,0.5300771208226221,-0.004883992543330523,-28.380297153058052,2,1.3091742842188978
23,2025-05-04 02:45:00,2025-06-15 02:40:00,2025-06-22 02:40:00,12096,2016,10,0.1807773443444252,0.531332280147446,-0.04109745540059741,-142.03293767890963,5,1.4422416944163592
24,2025-05-11 02:45:00,2025-06-22 02:40:00,2025-06-29 02:40:00,12096,2016,10,0.1410293050334289,0.5031884057971014,-0.07748571318189268,-656.0725575829031,24,7.08831820719679
25,2025-05-18 02:45:00,2025-06-29 02:40:00,2025-07-06 02:40:00,12096,2016,10,0.015396062769972872,0.5020768431983386,-0.005758163113169291,-21.97019451034993,1,0.7258226543032618
26,2025-05-25 02:45:00,2025-07-06 02:40:00,2025-07-13 02:40:00,12096,2016,10,-0.1114571968256052,0.4677819083023544,-0.10300065821304218,-1004.6438681633979,27,10.046438681634154
27,2025-06-01 02:45:00,2025-07-13 02:40:00,2025-07-20 02:40:00,12096,2016,10,0.14098590993242335,0.5397333333333333,0.006291948748037907,31.822310774230502,2,0.6850542109039013
28,2025-06-08 02:45:00,2025-07-20 02:40:00,2025-07-27 02:40:00,12096,2016,10,0.08217754797362264,0.5022761760242792,0.0,0.0,0,0.0
29,2025-06-15 02:45:00,2025-07-27 02:40:00,2025-08-03 02:40:00,12096,2016,10,0.013472824125418927,0.5123925139099645,0.0,0.0,0,0.0
30,2025-06-22 02:45:00,2025-08-03 02:40:00,2025-08-10 02:40:00,12096,2016,10,-0.020620721370136836,0.49013657056145676,0.0,0.0,0,0.0
31,2025-06-29 02:45:00,2025-08-10 02:40:00,2025-08-17 02:40:00,12096,2016,10,0.030135241592201188,0.5139338950097213,-0.04330036029090419,-408.1675748516559,25,4.3346718746940125
