q,coverage,mean_ret_29bar,n
0.7,0.6682993730407524,0.000289986234413,3402
0.74,0.6103056426332288,0.0002881794431414,3106
0.78,0.5429075235109718,0.0003394234571735,2767
0.82,0.492358934169279,0.0004252351101251,2509
0.86,0.3981191222570533,0.0002686875765475,2029
0.9,0.3038793103448275,0.00031672016371,1548
0.94,0.2345219435736677,0.0002997713888388,1194
0.98,0.1204937304075235,0.0001161258142862,614
