close,exp_return,edge_norm,threshold,signal,position,pnl
107727.3,-0.0007816679,0.0,inf,0,0.0,-0.0
107740.2,-0.001078528,0.0,inf,0,0.0,-0.0
107710.6,-0.0012099426,0.0,inf,0,0.0,-0.0
107658.9,-0.00024987073,0.0,inf,0,0.0,-0.0
107624.9,1.4970748e-05,0.0,inf,0,0.0,0.0
107648.8,-1.1507233e-05,0.0,inf,0,0.0,-0.0
107624.8,-0.00018876378,0.0,inf,0,0.0,-0.0
107588.8,8.134035e-05,0.0,inf,0,0.0,0.0
107568.8,0.00025872732,0.0,inf,0,0.0,0.0
107568.8,0.0004959626,0.0,inf,0,0.0,0.0
107560.0,0.0001498499,0.0,inf,0,0.0,0.0
107528.8,5.6502187e-05,0.0,inf,0,0.0,0.0
107528.8,0.00017536896,0.0,inf,0,0.0,0.0
107624.0,-8.9796085e-06,0.0,inf,0,0.0,-0.0
107697.5,-0.0008051237,0.0,inf,0,0.0,-0.0
107683.8,-0.0009360986,0.0,inf,0,0.0,-0.0
107631.7,-0.00011851226,0.0,inf,0,0.0,-0.0
107680.7,-8.844855e-05,0.0,inf,0,0.0,-0.0
107680.8,-0.0006656439,0.0,inf,0,0.0,-0.0
107649.3,-0.00044356045,0.0,inf,0,0.0,-0.0
107548.2,0.00013527494,0.32491396144475965,4.803756921579208,0,0.0,0.0
107548.1,0.00022911328,0.5532604953800918,4.8295802439791125,0,0.0,0.0
107548.2,7.20963e-06,0.017490801505533574,4.852066345418872,0,0.0,0.0
107548.2,8.727657e-05,0.21752581414947395,4.984747273884299,0,0.0,0.0
107548.1,7.184395e-05,0.18121804733831304,5.044768637245103,0,0.0,0.0
107548.1,7.600763e-05,0.19392792129219885,5.102854110230644,0,0.0,0.0
107528.8,0.0002743123,0.7015159684223671,5.114724771270744,0,0.0,0.0
107470.3,0.0005195685,1.2928999396905394,4.976821803940762,0,0.0,0.0
107538.4,0.00027918155,0.6512217135176126,4.665220280836294,0,0.0,0.0
107553.0,0.000337188,0.7841375178919534,4.651040660293881,0,0.0,0.0
107553.0,0.00049218215,1.1455320631562993,4.654911018665763,0,0.0,0.0
107579.7,0.0005589908,1.3073018079508878,4.677364218944572,0,0.0,0.0
107599.9,0.00053049414,1.2362919186966466,4.660906938351811,0,0.0,0.0
