quantile_window,entry_quantile,min_trade_size,threshold_mult,max_hold_bars,stop_loss_mult,take_profit_mult,n_trades,total_pnl,sharpe
50,0.85,0.01,0.35,75,2.0,8.0,9,278.01932384974015,0.02334655694005856
50,0.85,0.01,0.35,75,2.0,10.0,13,-56.850476371345195,-0.006869377668675725
50,0.85,0.01,0.35,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
50,0.85,0.01,0.35,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
50,0.85,0.01,0.35,100,1.5,8.0,14,-243.30200828622625,-0.03255009971895152
50,0.85,0.01,0.35,100,1.5,10.0,13,-139.60551331054108,-0.018205503123478753
50,0.85,0.01,0.35,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
50,0.85,0.01,0.35,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
50,0.85,0.01,0.35,100,2.0,8.0,11,-78.09643487219958,-0.009568669444791872
50,0.85,0.01,0.35,100,2.0,10.0,13,-11.561883563587246,-0.0011700205391088584
50,0.85,0.01,0.4,50,1.5,4.0,7,379.58705525345977,0.030466414639177587
50,0.85,0.01,0.4,50,1.5,6.0,7,413.20007346765135,0.03283100941399005
50,0.85,0.01,0.4,50,1.5,8.0,16,-57.70975386364658,-0.005505534543986904
50,0.85,0.01,0.4,50,1.5,10.0,18,-398.35343587516945,-0.0552529987416142
50,0.85,0.01,0.4,50,2.0,4.0,7,379.58705525345977,0.030466414639177587
50,0.85,0.01,0.4,50,2.0,6.0,7,413.20007346765135,0.03283100941399005
50,0.85,0.01,0.4,50,2.0,8.0,11,-1.144299878598325,0.0002379358414828175
50,0.85,0.01,0.4,50,2.0,10.0,13,168.4368376603719,0.015845613632509623
50,0.85,0.01,0.4,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
50,0.85,0.01,0.4,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
50,0.85,0.01,0.4,75,1.5,8.0,13,80.66089137319952,0.0070774074029734575
50,0.85,0.01,0.4,75,1.5,10.0,15,-151.2030880077636,-0.020279821862578377
50,0.85,0.01,0.4,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
50,0.85,0.01,0.4,75,2.0,6.0,6,508.5149880570264,0.0397114015472024
50,0.85,0.01,0.4,75,2.0,8.0,8,263.22780670296953,0.021999039232767813
50,0.85,0.01,0.4,75,2.0,10.0,10,234.8280165978955,0.019741073255040528
50,0.85,0.01,0.4,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
50,0.85,0.01,0.4,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
50,0.85,0.01,0.4,100,1.5,8.0,13,45.198709243139774,0.004779124051740833
50,0.85,0.01,0.4,100,1.5,10.0,15,-113.9242516397132,-0.01511932888115263
50,0.85,0.01,0.4,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
50,0.85,0.01,0.4,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
50,0.85,0.01,0.4,100,2.0,8.0,8,260.40684793000753,0.024895633391836786
50,0.85,0.01,0.4,100,2.0,10.0,10,253.84870090120944,0.025054076742034206
50,0.9,0.01,0.25,50,1.5,4.0,11,291.3675079602177,0.0221899779002344
50,0.9,0.01,0.25,50,1.5,6.0,12,331.647006999227,0.02420505048116842
50,0.9,0.01,0.25,50,1.5,8.0,22,-310.82886076663016,-0.02772815400401384
50,0.9,0.01,0.25,50,1.5,10.0,17,-64.81370485301461,-0.004803631109740528
50,0.9,0.01,0.25,50,2.0,4.0,11,291.3235668240607,0.0221866195358672
50,0.9,0.01,0.25,50,2.0,6.0,14,289.24355954194266,0.02156238685616985
50,0.9,0.01,0.25,50,2.0,8.0,17,-261.6301405054847,-0.027203863701763448
50,0.9,0.01,0.25,50,2.0,10.0,14,160.28084450945292,0.013130351606542584
50,0.9,0.01,0.25,75,1.5,4.0,9,458.51668413025357,0.034797650022990775
50,0.9,0.01,0.25,75,1.5,6.0,10,523.7583299532702,0.03816424512356182
50,0.9,0.01,0.25,75,1.5,8.0,19,-198.7647638793755,-0.014626808801284802
50,0.9,0.01,0.25,75,1.5,10.0,18,-346.7406025373245,-0.03739724266946775
50,0.9,0.01,0.25,75,2.0,4.0,9,458.47201543861655,0.03479417162847926
50,0.9,0.01,0.25,75,2.0,6.0,12,412.9842323077464,0.030420168885962613
50,0.9,0.01,0.25,75,2.0,8.0,11,150.65395340945034,0.012054985022728178
50,0.9,0.01,0.25,75,2.0,10.0,15,-125.47850096818303,-0.013099813299244525
50,0.9,0.01,0.25,100,1.5,4.0,8,367.30828566425544,0.02745849789761983
50,0.9,0.01,0.25,100,1.5,6.0,8,471.7426324085563,0.03399000853544686
50,0.9,0.01,0.25,100,1.5,8.0,19,-250.5128910344951,-0.019666400017237542
50,0.9,0.01,0.25,100,1.5,10.0,18,-377.01652530947797,-0.040569770395067616
50,0.9,0.01,0.25,100,2.0,4.0,8,367.2640288184974,0.027455148048834786
50,0.9,0.01,0.25,100,2.0,6.0,8,471.6979012251734,0.03398672238115902
50,0.9,0.01,0.25,100,2.0,8.0,12,121.44212803632675,0.010772687036121895
50,0.9,0.01,0.25,100,2.0,10.0,15,-161.17744520569,-0.0165396118754531
50,0.9,0.01,0.3,50,1.5,4.0,9,360.0352766539826,0.02774256062483459
50,0.9,0.01,0.3,50,1.5,6.0,9,463.9108637476947,0.03440185293271147
50,0.9,0.01,0.3,50,1.5,8.0,17,-209.37815525249565,-0.019541332475955214
50,0.9,0.01,0.3,50,1.5,10.0,17,-436.7790565140044,-0.05368245090772698
50,0.9,0.01,0.3,50,2.0,4.0,9,360.0352766539826,0.02774256062483459
50,0.9,0.01,0.3,50,2.0,6.0,9,463.9108637476947,0.03440185293271147
50,0.9,0.01,0.3,50,2.0,8.0,15,-337.02150120854856,-0.036531963288485333
50,0.9,0.01,0.3,50,2.0,10.0,13,61.748719212431425,0.005376199322359257
50,0.9,0.01,0.3,75,1.5,4.0,7,538.6622471541821,0.041838329714061165
50,0.9,0.01,0.3,75,1.5,6.0,7,644.3288747406029,0.04817914840012946
50,0.9,0.01,0.3,75,1.5,8.0,14,-131.15780372889344,-0.010110401086020574
50,0.9,0.01,0.3,75,1.5,10.0,16,-416.9621226549956,-0.051121955795456496
50,0.9,0.01,0.3,75,2.0,4.0,7,538.6622471541821,0.041838329714061165
50,0.9,0.01,0.3,75,2.0,6.0,7,644.3288747406029,0.04817914840012946
50,0.9,0.01,0.3,75,2.0,8.0,10,41.21422167744122,0.0036355912637287616
50,0.9,0.01,0.3,75,2.0,10.0,14,-244.9470186993788,-0.026505823664942925
50,0.9,0.01,0.3,100,1.5,4.0,6,430.97288185476765,0.03329256623625843
50,0.9,0.01,0.3,100,1.5,6.0,6,535.559721448059,0.03983034079626337
50,0.9,0.01,0.3,100,1.5,8.0,15,-460.8187481851966,-0.05647589621563442
50,0.9,0.01,0.3,100,1.5,10.0,14,-390.35348485724586,-0.04743790666723681
50,0.9,0.01,0.3,100,2.0,4.0,6,430.97288185476765,0.03329256623625843
50,0.9,0.01,0.3,100,2.0,6.0,6,535.559721448059,0.03983034079626337
50,0.9,0.01,0.3,100,2.0,8.0,10,62.54340731225865,0.006017834088164234
50,0.9,0.01,0.3,100,2.0,10.0,14,-254.84967462144763,-0.027093990111917682
50,0.9,0.01,0.35,50,1.5,4.0,7,379.58705525345977,0.030466414639177587
50,0.9,0.01,0.35,50,1.5,6.0,7,413.20007346765135,0.03283100941399005
50,0.9,0.01,0.35,50,1.5,8.0,16,-60.0146219478221,-0.005629070584834745
50,0.9,0.01,0.35,50,1.5,10.0,16,-295.38493185664623,-0.039030893909156227
50,0.9,0.01,0.35,50,2.0,4.0,7,379.58705525345977,0.030466414639177587
50,0.9,0.01,0.35,50,2.0,6.0,7,413.20007346765135,0.03283100941399005
50,0.9,0.01,0.35,50,2.0,8.0,14,-295.27576226656083,-0.038303524880122924
50,0.9,0.01,0.35,50,2.0,10.0,14,84.03346235296019,0.008086587353947107
50,0.9,0.01,0.35,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
50,0.9,0.01,0.35,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
50,0.9,0.01,0.35,75,1.5,8.0,13,94.39626692701756,0.008211959401310202
50,0.9,0.01,0.35,75,1.5,10.0,15,-217.72427009025247,-0.029002425590116863
50,0.9,0.01,0.35,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
50,0.9,0.01,0.35,75,2.0,6.0,6,508.5149880570264,0.0397114015472024
50,0.9,0.01,0.35,75,2.0,8.0,9,278.01932384974015,0.02334655694005856
50,0.9,0.01,0.35,75,2.0,10.0,13,-50.36258053486903,-0.005991666818212746
50,0.9,0.01,0.35,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
50,0.9,0.01,0.35,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
50,0.9,0.01,0.35,100,1.5,8.0,14,-249.45884336712712,-0.03334635881184156
50,0.9,0.01,0.35,100,1.5,10.0,13,-145.82778442675215,-0.01900924159072812
50,0.9,0.01,0.35,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
50,0.9,0.01,0.35,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
50,0.9,0.01,0.35,100,2.0,8.0,11,-47.47460003976536,-0.005109276476036733
50,0.9,0.01,0.35,100,2.0,10.0,13,-27.48817850771902,-0.0031141755447784475
50,0.9,0.01,0.4,50,1.5,4.0,7,379.58705525345977,0.030466414639177587
50,0.9,0.01,0.4,50,1.5,6.0,7,413.20007346765135,0.03283100941399005
50,0.9,0.01,0.4,50,1.5,8.0,16,-57.70975386364658,-0.005505534543986904
50,0.9,0.01,0.4,50,1.5,10.0,17,-395.95037285223856,-0.05531183253666302
50,0.9,0.01,0.4,50,2.0,4.0,7,379.58705525345977,0.030466414639177587
50,0.9,0.01,0.4,50,2.0,6.0,7,413.20007346765135,0.03283100941399005
50,0.9,0.01,0.4,50,2.0,8.0,11,-1.144299878598325,0.0002379358414828175
50,0.9,0.01,0.4,50,2.0,10.0,13,168.4368376603719,0.015845613632509623
50,0.9,0.01,0.4,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
50,0.9,0.01,0.4,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
50,0.9,0.01,0.4,75,1.5,8.0,13,80.66089137319952,0.0070774074029734575
50,0.9,0.01,0.4,75,1.5,10.0,15,-151.2030880077636,-0.020279821862578377
50,0.9,0.01,0.4,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
50,0.9,0.01,0.4,75,2.0,6.0,6,508.5149880570264,0.0397114015472024
50,0.9,0.01,0.4,75,2.0,8.0,8,263.22780670296953,0.021999039232767813
50,0.9,0.01,0.4,75,2.0,10.0,10,234.8280165978955,0.019741073255040528
50,0.9,0.01,0.4,100,1.5,4.0,5,398.76985314122544,0.031029705005349226
50,0.9,0.01,0.4,100,1.5,6.0,5,432.4450281765464,0.03332764221647732
50,0.9,0.01,0.4,100,1.5,8.0,13,45.198709243139774,0.004779124051740833
50,0.9,0.01,0.4,100,1.5,10.0,15,-113.9242516397132,-0.01511932888115263
50,0.9,0.01,0.4,100,2.0,4.0,5,398.76985314122544,0.031029705005349226
50,0.9,0.01,0.4,100,2.0,6.0,5,432.4450281765464,0.03332764221647732
50,0.9,0.01,0.4,100,2.0,8.0,8,308.16903921364934,0.028022166863419396
50,0.9,0.01,0.4,100,2.0,10.0,10,253.84870090120944,0.025054076742034206
