entry_time,exit_time,entry_price,exit_price,position_size,predicted_exp_r,edge,volatility,net_pnl,pnl_per_unit,stop_hit,take_profit_hit,hold_time_mins,atr,stop_dist,tp_dist,bar_high,bar_low,bar_close,signal,entry_bar,exit_bar,bars_held,ev_bps,sigma_bps,future_price,real_horizon_ret,entry_time_idx,side,gate_on_entry,directional_hit,profitable
2025-08-01 05:20:00,2025-08-01T06:30:00,115504.236228,115179.4046678215,0.08222889,12.741317487520384,0.4683766560313742,-0.0031626054662197,-28.60742460364844,-347.8999242680819,True,False,70.0,150.8950355735661,301.7900711471322,603.5801422942644,115658.16,115481.14,115546.19,1,65,79,14,8.741317487520384,6.247514741229672,115424.0,-0.0006946604784400436,2025-08-01 05:15:00,long,False,False,False
2025-08-02 02:10:00,2025-08-02T04:45:00,113766.42999999998,114005.34,0.07619249,11.906303103525149,0.428536258285738,0.001038906324737,16.467697955100647,216.13282300001808,False,False,155.0,130.9759234755567,261.9518469511134,523.9036939022268,113766.43,113695.42,113738.88,1,315,346,31,7.906303103525149,7.163309095298138,113773.09,5.854099491403612e-05,2025-08-02 02:05:00,long,False,True,True
2025-08-02 06:30:00,2025-08-02T07:25:00,113585.11247999998,113860.38161766318,0.08779106,13.704728468573784,0.7134409646480524,-0.0004423802769868,22.169401278833703,252.52458825344743,False,True,55.0,68.81703441580085,137.6340688316017,275.2681376632034,113621.21,113540.64,113549.31,1,367,378,11,9.704728468573784,6.816339914027985,113848.99,0.0023231699492879147,2025-08-02 06:25:00,long,False,True,True
2025-08-02 10:50:00,2025-08-02T11:30:00,113522.710002,113869.72818802584,0.0711343,11.906303103525149,0.5762202372139387,0.0005290021156558,23.06735555862525,324.2789422068573,False,True,40.0,86.75429650646544,173.50859301293087,347.01718602586175,113646.16,113500.0,113646.15,1,419,427,8,7.906303103525149,5.257570163391732,113799.84,0.0024411855389561,2025-08-02 10:45:00,long,False,True,True
2025-08-02 12:10:00,2025-08-02T12:40:00,113745.37,113572.11,0.04976094,11.906303103525149,0.4027907618763479,0.000157855278808,-9.752733612723585,-195.99174800000927,True,False,30.0,77.76121288014758,155.52242576029516,311.0448515205903,113745.37,113718.94,113718.95,1,435,441,6,7.906303103525149,7.660701347298676,113569.24,-0.001548458631766639,2025-08-02 12:05:00,long,False,False,False
2025-08-02 14:40:00,2025-08-02T15:55:00,113119.949466,112897.72979867498,0.05999397,11.906303103525149,0.4831726645926479,-0.0009729922439753,-14.687809841835232,-244.82143525149664,True,False,75.0,99.8173022763637,199.6346045527274,399.2692091054548,113141.61,112977.0,112999.99,1,465,480,15,7.906303103525149,6.238744134929543,113048.99,-0.0006272940037100021,2025-08-02 14:35:00,long,False,False,False
2025-08-02 17:25:00,2025-08-02T17:45:00,113294.764422,113024.35864593394,0.04965086,11.906303103525149,0.4008962514311566,-0.001073779385076,-14.549573240122989,-293.0376883728296,True,False,20.0,123.89769122905967,247.79538245811935,495.5907649162388,113360.0,113272.1,113360.0,1,498,502,4,7.906303103525149,7.643942198694099,112509.93,-0.006927367085354898,2025-08-02 17:20:00,long,False,False,False
2025-08-03 03:20:00,2025-08-03T05:55:00,113494.804422,113555.52,0.0532588,11.906303103525149,0.4231166718877729,5.3848730016045176e-05,2.0243960437539186,38.010545557803,False,False,155.0,97.80037515144018,195.6007503028804,391.2015006057607,113556.2,113463.49,113556.19,1,617,648,31,7.906303103525149,7.476758634536094,113407.92,-0.0007655365586335247,2025-08-03 03:15:00,long,False,True,True
2025-08-03 11:20:00,2025-08-03T11:30:00,114160.297494,113981.439152,0.08359641,11.906303103525149,0.6831551635973507,-0.0008270890937254,-16.859098305228677,-201.67251566459228,True,False,10.0,67.7782550430969,135.5565100861938,271.1130201723876,114177.05,114085.61,114097.01,1,713,715,2,7.906303103525149,4.1553327552754,113742.75,-0.003657554361418372,2025-08-03 11:15:00,long,False,False,False
2025-08-03 11:55:00,2025-08-03T12:05:00,114000.01,113823.410764,0.0707956,11.906303103525149,0.5785637126538237,-0.0001784768965823,-14.1153384488652,-199.38157807639456,True,False,10.0,74.82207338114962,149.64414676229924,299.2882935245985,114000.01,113861.18,113862.18,1,720,722,2,7.906303103525149,5.32053273652101,114033.36,0.00029254383398743405,2025-08-03 11:50:00,long,False,False,False
2025-08-03 12:30:00,2025-08-03T14:25:00,113810.7576,113629.85893612565,0.05828698,11.906303103525149,0.4759115102112065,0.0003692437536265,-11.869719469993946,-203.6427255279643,True,False,115.0,79.08357299177162,158.16714598354324,316.3342919670865,113859.82,113765.86,113812.84,1,727,750,23,7.906303103525149,6.45834799984469,113822.44,0.00010264759014314078,2025-08-03 12:25:00,long,False,False,False
2025-08-03 14:50:00,2025-08-03T17:25:00,113801.40573,114020.09,0.05357787,11.906303103525149,0.4377492000647658,-0.0003533684704478,10.496018340962038,195.9021204269979,False,False,155.0,107.16225042591384,214.32450085182765,428.6490017036553,113830.45,113746.49,113794.0,1,755,786,31,7.906303103525149,7.046228682576152,113934.03,0.0011654009820815264,2025-08-03 14:45:00,long,False,True,True
2025-08-03 19:15:00,2025-08-03T19:35:00,114414.898404,114753.69432681405,0.05553229,11.906303103525149,0.4554763793065716,0.0003673808482728,17.54148776148407,315.879063540943,False,True,20.0,84.6987307035052,169.3974614070104,338.7949228140208,114424.21,114392.01,114422.97,1,808,812,4,7.906303103525149,6.860399178979098,114239.16,-0.001535974828902697,2025-08-03 19:10:00,long,False,True,True
2025-08-03 21:30:00,2025-08-03T22:00:00,114505.34649,114329.73581788543,0.04927309,11.906303103525149,0.4035640918714029,-0.0003295488769273,-9.780421612631994,-198.49418034533645,True,False,30.0,76.36957542335516,152.73915084671032,305.47830169342063,114506.5,114425.36,114459.99,1,835,841,6,7.906303103525149,7.610863045350937,114095.93,-0.0035755229126856404,2025-08-03 21:25:00,long,False,False,False
