time,open,high,low,close,volume
2025-07-21 01:29:00,117162.5,117162.6,117162.5,117162.6,0.03941942
2025-07-21 01:30:00,117162.6,117162.6,117162.5,117162.6,0.01907813
2025-07-21 01:31:00,117162.6,117215.0,117162.6,117215.0,0.03948334
2025-07-21 01:32:00,117215.0,117244.6,117215.0,117244.6,0.02399538
2025-07-21 01:33:00,117244.8,117253.7,117219.9,117219.9,2.01250405
2025-07-21 01:34:00,117220.0,117220.0,117049.1,117049.1,0.22152799
2025-07-21 01:35:00,117045.5,117045.5,117005.0,117007.6,0.42148121
2025-07-21 01:36:00,117007.7,117013.3,116969.0,116969.1,1.20275524
2025-07-21 01:37:00,116969.0,116969.1,116867.9,116913.5,10.69290911
2025-07-21 01:38:00,116920.0,116934.1,116898.1,116930.2,0.0816889
2025-07-21 01:39:00,116930.1,116930.1,116841.5,116887.2,0.03948864
2025-07-21 01:40:00,116887.3,116967.9,116887.2,116929.5,1.11279842
2025-07-21 01:41:00,116925.7,116969.0,116925.7,116969.0,2.39404252
2025-07-21 01:42:00,116969.0,116996.2,116969.0,116991.4,0.03385406
2025-07-21 01:43:00,116991.4,116991.4,116968.9,116991.2,0.00479224
2025-07-21 01:44:00,116991.3,116998.0,116987.3,116998.0,0.17948168
2025-07-21 01:45:00,116997.9,116998.0,116997.9,116997.9,0.03848621
2025-07-21 01:46:00,116997.9,116998.0,116997.9,116998.0,0.02090085
2025-07-21 01:47:00,116998.0,116998.0,116997.9,116998.0,0.15422238
2025-07-21 01:48:00,116998.0,116998.0,116997.9,116997.9,0.01281276
2025-07-21 01:49:00,116998.0,117051.0,116997.9,117050.9,0.09442824
2025-07-21 01:50:00,117051.0,117133.0,117050.9,117133.0,0.15840648
2025-07-21 01:51:00,117133.0,117133.0,117132.9,117133.0,0.02227291
2025-07-21 01:52:00,117132.9,117196.5,117132.9,117192.1,0.06418243
2025-07-21 01:53:00,117192.1,117192.1,117186.4,117192.1,0.05105155
2025-07-21 01:54:00,117192.1,117215.0,117192.1,117215.0,0.03912172
2025-07-21 01:55:00,117214.9,117253.7,117214.9,117253.7,0.06993636
2025-07-21 01:56:00,117253.7,117253.7,117253.7,117253.7,0.00362207
2025-07-21 01:57:00,117253.7,117341.0,117253.7,117341.0,0.3830011
2025-07-21 01:58:00,117340.3,117362.5,117340.3,117362.5,0.02114634
2025-07-21 01:59:00,117362.5,117374.5,117362.5,117374.4,0.00922373
2025-07-21 02:00:00,117374.4,117379.0,117362.5,117379.0,0.0184317
2025-07-21 02:01:00,117379.0,117415.8,117378.9,117415.8,0.022272
2025-07-21 02:02:00,117415.8,117461.0,117415.8,117460.9,0.05668882
2025-07-21 02:03:00,117461.0,117488.1,117460.9,117488.1,2.54013338
2025-07-21 02:04:00,117488.1,117501.7,117488.0,117501.7,0.9332632
2025-07-21 02:05:00,117501.7,117524.8,117501.7,117524.8,0.09752072
2025-07-21 02:06:00,117524.9,117525.0,117524.9,117525.0,0.00727003
2025-07-21 02:07:00,117525.0,117530.4,117524.9,117530.4,0.04140795
2025-07-21 02:08:00,117530.4,117586.8,117530.4,117586.8,0.12328313
2025-07-21 02:09:00,117586.8,117799.0,117586.8,117798.9,1.09224143
2025-07-21 02:10:00,117799.0,117849.9,117799.0,117849.9,0.25842829
2025-07-21 02:11:00,117855.2,117962.9,117855.2,117950.2,6.2381458
2025-07-21 02:12:00,117950.3,117950.3,117950.3,117950.3,0.00516258
2025-07-21 02:13:00,117950.3,117999.8,117950.2,117999.5,1.1984755
2025-07-21 02:14:00,117999.6,118000.0,117999.5,118000.0,0.13799405
2025-07-21 02:15:00,118000.0,118000.0,117975.0,117975.0,0.81128069
2025-07-21 02:16:00,117975.0,117975.0,117873.1,117873.1,0.31719109
2025-07-21 02:17:00,117873.2,117873.2,117806.0,117806.1,0.07906046
2025-07-21 02:18:00,117806.0,117806.1,117764.8,117785.0,0.76207915
2025-07-21 02:19:00,117785.0,117785.0,117785.0,117785.0,0.00720792
2025-07-21 02:20:00,117784.9,117802.3,117784.9,117786.2,0.05764794
2025-07-21 02:21:00,117786.2,117786.2,117786.1,117786.2,0.0210436
2025-07-21 02:22:00,117786.2,117786.2,117786.1,117786.2,0.01362524
2025-07-21 02:23:00,117786.2,117848.0,117786.2,117815.1,0.07024645
2025-07-21 02:24:00,117815.1,117870.1,117815.1,117852.3,1.23671825
2025-07-21 02:25:00,117852.3,117874.9,117852.3,117874.9,0.04504514
2025-07-21 02:26:00,117883.7,117945.0,117883.7,117944.7,0.60143698
2025-07-21 02:27:00,117944.7,118000.0,117944.6,118000.0,1.16613846
2025-07-21 02:28:00,117999.9,118067.6,117999.9,118067.6,4.04381964
2025-07-21 02:29:00,118067.5,118078.4,118067.5,118078.4,0.43827592
2025-07-21 02:30:00,118078.4,118078.4,118078.3,118078.3,0.04588376
2025-07-21 02:31:00,118078.3,118078.3,118012.8,118028.9,1.14787385
2025-07-21 02:32:00,118028.8,118028.8,118000.0,118000.1,0.0061169
2025-07-21 02:33:00,118000.0,118000.1,118000.0,118000.1,0.00405532
2025-07-21 02:34:00,118000.1,118000.1,118000.0,118000.0,0.00480619
2025-07-21 02:35:00,118000.1,118000.1,118000.0,118000.1,0.00801164
2025-07-21 02:36:00,118000.1,118000.1,118000.0,118000.1,0.06805899
2025-07-21 02:37:00,118000.1,118000.1,117975.1,117975.1,0.05991463
2025-07-21 02:38:00,117975.2,117975.2,117956.1,117956.1,0.07122392
2025-07-21 02:39:00,117956.1,117956.1,117956.0,117956.1,0.00291453
2025-07-21 02:40:00,117956.0,117956.1,117956.0,117956.1,0.00423222
2025-07-21 02:41:00,117956.1,117956.1,117956.0,117956.0,0.02584359
2025-07-21 02:42:00,117956.1,117975.1,117956.1,117975.0,0.05332685
2025-07-21 02:43:00,117975.1,117975.1,117975.1,117975.1,0.00201041
2025-07-21 02:44:00,117975.1,117975.1,117975.0,117975.1,0.0134708
