time,open,high,low,close,vwap,volume,count
2025-06-29 21:30:00,107524.0,107571.0,107523.9,107571.0,107529.5,0.31286394,55.0
2025-06-29 21:35:00,107581.1,107633.2,107581.1,107633.2,107622.1,0.11865473,48.0
2025-06-29 21:40:00,107633.2,107699.0,107633.2,107699.0,107659.8,0.11258415,45.0
2025-06-29 21:45:00,107699.0,107708.6,107698.9,107699.0,107698.9,0.78760962,50.0
2025-06-29 21:50:00,107699.0,107699.0,107650.0,107650.0,107675.4,0.22237471,57.0
2025-06-29 21:55:00,107650.0,107650.0,107581.1,107581.1,107592.9,0.42262018,66.0
2025-06-29 22:00:00,107581.2,107800.9,107581.1,107773.8,107718.7,0.5660774,114.0
2025-06-29 22:05:00,107773.9,107826.3,107725.0,107826.2,107760.4,1.23507709,77.0
2025-06-29 22:10:00,107826.3,107826.3,107813.3,107813.4,107826.2,4.36629268,66.0
2025-06-29 22:15:00,107813.4,107925.0,107813.4,107924.9,107855.3,2.80808046,148.0
2025-06-29 22:20:00,107924.9,107930.0,107924.9,107930.0,107929.6,0.68353251,70.0
2025-06-29 22:25:00,107930.0,108000.0,107929.9,107999.9,107968.1,3.13497537,100.0
2025-06-29 22:30:00,108000.0,108037.0,107910.0,107910.0,108007.0,2.07054803,234.0
2025-06-29 22:35:00,107910.1,108171.1,107910.0,108170.8,108140.0,5.20184012,153.0
2025-06-29 22:40:00,108157.5,108178.4,108092.3,108103.1,108147.3,1.78299285,94.0
2025-06-29 22:45:00,108103.2,108250.0,108103.1,108249.9,108227.7,13.41643566,144.0
2025-06-29 22:50:00,108250.0,108250.0,108157.6,108181.7,108206.9,2.21088833,89.0
2025-06-29 22:55:00,108181.7,108227.8,108076.2,108089.7,108157.4,4.09268484,110.0
2025-06-29 23:00:00,108089.7,108191.9,108089.6,108191.9,108144.1,1.60029866,77.0
2025-06-29 23:05:00,108191.9,108250.0,108191.9,108192.0,108239.1,0.49819139,79.0
2025-06-29 23:10:00,108192.0,108192.0,108076.0,108076.0,108154.7,0.39198375,115.0
2025-06-29 23:15:00,108076.0,108116.8,108076.0,108100.0,108099.3,0.55433069,72.0
2025-06-29 23:20:00,108100.0,108282.3,108100.0,108282.3,108186.3,4.63824045,122.0
2025-06-29 23:25:00,108282.2,108426.7,108282.2,108426.7,108405.4,3.13856799,142.0
2025-06-29 23:30:00,108426.7,108433.4,108368.7,108393.6,108425.2,2.90850075,142.0
2025-06-29 23:35:00,108393.6,108393.6,108393.5,108393.5,108393.5,0.09668308,44.0
2025-06-29 23:40:00,108393.5,108435.1,108359.5,108359.5,108421.2,2.61702634,116.0
2025-06-29 23:45:00,108359.5,108359.6,108352.1,108359.5,108356.4,0.15260595,82.0
2025-06-29 23:50:00,108359.6,108359.6,108359.5,108359.6,108359.5,0.07526851,36.0
2025-06-29 23:55:00,108359.6,108387.3,108359.5,108387.2,108370.3,0.30331786,43.0
2025-06-30 00:00:00,108387.3,108446.8,108304.0,108306.3,108416.8,5.78163077,192.0
2025-06-30 00:05:00,108306.4,108410.6,108306.4,108410.5,108375.3,0.33577057,61.0
2025-06-30 00:10:00,108410.6,108450.0,108410.5,108449.9,108445.9,0.52201638,62.0
2025-06-30 00:15:00,108449.9,108469.7,108449.9,108469.7,108457.7,4.51792727,113.0
2025-06-30 00:20:00,108469.7,108675.6,108427.8,108675.6,108507.7,21.29045762,379.0
2025-06-30 00:25:00,108675.6,108700.0,108647.3,108650.0,108659.5,13.00627371,191.0
2025-06-30 00:30:00,108650.1,108658.3,108650.0,108658.3,108651.0,0.6156147,73.0
2025-06-30 00:35:00,108663.5,108725.9,108663.4,108700.0,108700.9,9.56011494,295.0
2025-06-30 00:40:00,108700.0,108782.0,108699.9,108777.9,108774.0,14.23392773,161.0
2025-06-30 00:45:00,108777.9,108792.0,108777.8,108781.1,108789.5,0.93293922,63.0
2025-06-30 00:50:00,108781.1,108781.1,108681.8,108715.5,108733.8,15.02512615,137.0
2025-06-30 00:55:00,108715.4,108774.0,108715.4,108743.3,108755.5,5.50010242,133.0
2025-06-30 01:00:00,108743.3,108743.3,108643.5,108643.5,108717.8,1.86226136,165.0
2025-06-30 01:05:00,108643.5,108643.5,108506.9,108528.7,108615.8,21.39331608,188.0
2025-06-30 01:10:00,108528.6,108539.4,108528.6,108530.7,108528.7,0.61742452,58.0
2025-06-30 01:15:00,108530.8,108656.0,108530.8,108655.9,108565.3,1.35838247,83.0
2025-06-30 01:20:00,108656.0,108670.9,108655.9,108670.9,108657.8,0.57705195,70.0
2025-06-30 01:25:00,108670.9,108670.9,108670.8,108670.9,108670.8,0.28022179,39.0
2025-06-30 01:30:00,108670.8,108743.2,108670.8,108743.2,108673.8,0.98462132,81.0
