q,coverage,mean_ret_10bar,n
0.7,0.0,,0
0.74,0.0,,0
0.78,0.0,,0
0.82,0.0,,0
0.86,0.0,,0
0.9,0.0,,0
0.94,0.0,,0
0.98,0.0,,0
