entry_time,exit_time,entry_price,exit_price,position_size,predicted_exp_r,edge,volatility,net_pnl,pnl_per_unit,stop_hit,take_profit_hit,hold_time_mins,atr,stop_dist,tp_dist,bar_high,bar_low,bar_close,signal,entry_bar,exit_bar,bars_held
2025-08-11T07:40:00,2025-08-11T08:00:00,121662.5,121348.82162773685,-0.01591665,-0.0026446491318893096,-1.9364590787867866e-05,-0.001423225830810083,-2.743143440889944,172.34427099232212,False,True,20.0,104.55612408772025,156.83418613158037,313.66837226316073,121763.9,121662.5,121763.9,-1,299,303,4
2025-08-11T08:05:00,2025-08-11T08:15:00,121303.53444,121595.4,-0.01336637,-0.003505101917107822,-1.622157064673555e-05,-0.0027510531182574505,-10.394537125878648,777.6634288799911,True,False,10.0,122.95404571179873,184.4310685676981,368.8621371353962,121373.5,121215.9,121373.5,-1,304,306,2
2025-08-11T08:20:00,2025-08-11T09:35:00,121577.5,121226.57315769444,-0.01178123,-0.003601746512867976,-1.434217194298894e-05,0.002058060889589996,-1.5867114192396947,134.68130400982704,False,True,75.0,116.9722807685211,175.45842115278165,350.9168423055633,121633.6,121577.5,121590.4,-1,307,322,15
2025-08-11T09:40:00,2025-08-11T09:50:00,121127.2,121400.0,-0.01619857,-0.004078478015253495,-1.964981814163902e-05,-0.0037029878061318675,-12.276157548208047,757.854400000003,True,False,10.0,94.52230517258245,141.78345775887368,283.56691551774736,121360.0,121127.2,121360.0,-1,323,325,2
2025-08-11T09:55:00,2025-08-11T10:35:00,121330.72899999999,121081.1433755858,-0.01800665,-0.003868438676727237,-2.1911129817954716e-05,0.0018798404653616245,-4.235850499566161,235.23812033699556,False,True,40.0,83.19187480472497,124.78781220708746,249.5756244141749,121355.0,121326.2,121331.2,-1,326,334,8
2025-08-11T10:40:00,2025-08-11T11:15:00,121074.99999999999,120798.01413071246,-0.01896763,-0.004403785384056391,-2.3037017835086604e-05,-0.0023072802933542086,-3.9217501941580615,206.7601589738972,False,True,35.0,92.32528976251227,138.4879346437684,276.9758692875368,121102.4,121075.0,121090.9,-1,335,342,7
2025-08-11T11:20:00,2025-08-11T11:30:00,120727.54966,120401.66079519155,-0.0165135,-0.004388204235783633,-2.001069008746533e-05,-0.0026702457154656445,-2.582208664689208,156.36955610192922,False,True,10.0,108.626288269485,162.9394324042275,325.878864808455,120760.9,120662.5,120665.6,-1,343,345,2
2025-08-11T11:35:00,2025-08-11T12:10:00,120562.1,120215.70243951015,-0.01357112,-0.004177824675934971,-1.6423680748992755e-05,-0.0015660235011183384,-1.8342460393706386,135.15804438916157,False,True,35.0,115.46252016328638,173.19378024492957,346.38756048985914,120657.4,120562.1,120620.2,-1,346,353,7
2025-08-12T22:35:00,2025-08-12T22:55:00,119852.8,120016.11768496905,-0.01061451,-0.0021296717874065506,-1.2773096609982166e-05,0.0007522758222224935,-6.825719251193238,643.0555203389735,True,False,20.0,92.87284074454853,139.3092611168228,278.6185222336456,119904.2,119852.8,119870.8,-1,766,770,4
2025-08-12T23:00:00,2025-08-12T23:40:00,120046.4859,120200.5,-0.01144954,-0.002129517826324445,-1.3811599924488934e-05,0.0017553812781578022,-7.264825548396976,634.5080718000004,True,False,40.0,95.6624331724983,143.49364975874744,286.9872995174949,120070.5,119916.1,119930.3,-1,771,779,8
2025-08-13T00:50:00,2025-08-13T01:00:00,119858.42352,119640.4899949709,-0.01072298,-0.0017036145552992822,-1.2924324276312867e-05,-2.5023897822420414e-05,-2.7993872890690983,261.0643020008522,False,True,10.0,72.641175009698,108.961762514547,217.923525029094,119882.4,119769.9,119769.9,-1,793,795,2
2025-08-13T01:05:00,2025-08-13T01:15:00,119603.17458000002,119354.57865270817,-0.01166854,-0.002022431564546423,-1.4038004797867907e-05,-0.0021295869952552534,-2.675824682369694,229.3195791735465,False,True,10.0,82.86197576396049,124.29296364594073,248.58592729188146,119627.2,119499.9,119513.7,-1,796,798,2
2025-08-14T02:10:00,2025-08-14T03:00:00,123580.27900000001,123797.0,-0.01019324,-0.002709750211579376,-1.2674312022389169e-05,0.0011201400863552918,-7.252241116827822,711.4755579999904,True,False,50.0,139.99308522312418,209.98962783468627,419.97925566937255,123605.0,123500.0,123500.1,-1,1097,1107,10
2025-08-14T03:05:00,2025-08-14T03:50:00,123772.14061999999,123427.26044734547,-0.01896505,-0.0037956954663968647,-2.363508031740112e-05,0.001553335221067109,-2.835628284022903,149.51862948017023,False,True,45.0,114.95672421817306,172.4350863272596,344.8701726545192,123862.6,123761.5,123761.6,-1,1108,1117,9
2025-08-14T03:55:00,2025-08-14T04:55:00,123372.1,123108.64711460155,-0.01762974,-0.002843086206848966,-2.190519806426938e-05,-0.003277946961558058,-4.0461771014481025,229.50860883076564,False,True,60.0,87.81429513281645,131.72144269922467,263.44288539844933,123391.3,123372.1,123379.4,-1,1118,1130,12
2025-08-14T05:00:00,2025-08-14T05:25:00,123080.77892,122840.482189328,-0.01682361,-0.0041160992819641255,-2.0863645566751986e-05,-0.0023162105563443985,-4.23190829412208,251.54579154664668,False,True,25.0,80.09557689067152,120.14336533600729,240.28673067201458,123117.2,123022.1,123117.2,-1,1131,1136,5
