q,coverage,mean_ret_10bar,n
0.7,0.7153024911032029,-0.0002017269990323,1397
0.74,0.6573462125063548,-0.0002149478158227,1287
0.78,0.5780376207422471,-0.0002536654302204,1131
0.82,0.4987290289781393,-0.0002421909890133,975
0.86,0.4331469242501271,-0.0001904471542088,846
0.9,0.3365531265887138,-0.0002811789510366,656
0.94,0.1962379257752923,-0.0006096742649969,386
0.98,0.0574478901881037,-0.0009403065907036,113
