entry_time,exit_time,entry_price,exit_price,position_size,predicted_exp_r,edge,volatility,net_pnl,pnl_per_unit,stop_hit,take_profit_hit,hold_time_mins,atr,stop_dist,tp_dist,bar_high,bar_low,bar_close,signal,entry_bar,exit_bar,bars_held,future_price,real_horizon_ret,entry_time_idx,side,gate_on_entry,directional_hit,profitable
2025-08-12 07:10:00,2025-08-12T08:05:00,119109.437124,118864.22877523136,0.02807837,2.8761705099822573e-06,287.6170509982257,0.0008575972535373,-20.248876026564293,-721.1556805670805,True,False,55.0,110.71487374665244,221.4297474933049,664.2892424799147,119127.49,119080.0,119099.96,1,35,46,11,118926.19,-0.001538476953838932,2025-08-12 07:05:00,long,False,False,False
2025-08-12 08:15:00,2025-08-12T08:30:00,118939.7832,118758.5986524634,0.08148898,8.352235904521416e-06,835.2235904521416,2.6237696034234e-05,-53.50414134013448,-656.5813112415258,True,False,15.0,78.71353825595025,157.4270765119005,472.2812295357015,118940.0,118846.72,118939.99,1,48,51,3,118646.83,-0.0024630379517961284,2025-08-12 08:10:00,long,False,False,False
2025-08-12 08:45:00,2025-08-12T08:55:00,119058.43,118822.240798,0.03320551,3.425252736743653e-06,342.5252736743653,0.0017268856428237,-23.640680894882216,-711.9505435959941,True,False,10.0,91.7706355817493,183.5412711634986,550.6238134904959,119058.43,118949.03,118972.0,1,54,56,2,118610.68,-0.003760758478001096,2025-08-12 08:40:00,long,False,False,False
2025-08-12 09:05:00,2025-08-12T09:15:00,118893.29,118604.654324,0.08087825,8.352235904521416e-06,835.2235904521416,0.0006150754073359,-61.76118459349136,-763.6315646479908,True,False,10.0,102.9672015006846,205.9344030013692,617.8032090041077,118893.29,118642.85,118646.83,1,58,60,2,118408.38,-0.004078531261099671,2025-08-12 09:00:00,long,False,False,False
2025-08-12 09:20:00,2025-08-12T09:40:00,118763.727996,118541.94999999998,0.08047386,8.352235904521416e-06,835.2235904521416,-0.0012431050525124,-56.041139217694095,-696.3893519919897,True,False,20.0,110.44790513739144,220.8958102747829,662.6874308243486,118775.7,118629.88,118658.38,1,61,65,4,118241.59,-0.0043964432980546945,2025-08-12 09:15:00,long,False,False,False
2025-08-12 10:25:00,2025-08-12T11:10:00,118573.189896,118318.97989034328,0.06682687,2.435374373284632e-05,2435.374373284632,0.0016517398357249,-48.649583469381255,-727.9943452294153,True,False,45.0,115.27023798636,230.54047597272,691.62142791816,118595.21,118500.0,118530.59,1,74,83,9,118418.38,-0.001305606234729576,2025-08-12 10:20:00,long,False,False,False
2025-08-12 11:15:00,2025-08-12T12:30:00,118284.55218,119086.05101660006,0.08164502,2.982980912738548e-05,2982.980912738548,-0.00243425783057,26.678133253393,326.75763020687606,False,True,75.0,133.58297276667844,267.1659455333569,801.4978366000706,118448.84,118222.0,118418.38,1,84,99,15,118399.99,0.0009759331871531161,2025-08-12 11:10:00,long,False,True,True
2025-08-12 12:35:00,2025-08-12T16:00:00,118963.88802,120015.49285576642,0.05914375,2.1673465317974785e-05,2167.3465317974783,0.0057431492572777,33.92757999001832,573.6460740148929,False,True,205.0,175.26730596107038,350.53461192214075,1051.6038357664222,118995.73,118713.3,118995.73,1,100,141,41,119212.59,0.002090567012723951,2025-08-12 12:30:00,long,False,True,True
2025-08-12 16:10:00,2025-08-12T20:50:00,119870.72106,120306.136622762,-0.08171138,-0.0002126862814982,-21268.62814982429,-0.0009928854044762,-74.82877147740427,-915.7692781275298,True,False,280.0,205.67907336032928,411.3581467206585,1234.0744401619754,119960.5,119820.39,119832.14,-1,143,199,56,119799.99,0.0005900611873735815,2025-08-12 16:05:00,short,False,True,False
2025-08-12 20:55:00,2025-08-13T03:15:00,120284.24833800002,119401.42551,-0.08080848,-0.0001079266342301,-10792.663423019643,0.0034498608737384,32.60230087711767,403.4514803040185,False,False,380.0,160.05848188430605,320.1169637686121,960.3508913058364,120308.31,120120.2,120192.1,-1,200,276,76,119915.01,0.003069714805570061,2025-08-12 20:50:00,short,False,False,True
